date,open,high,low,close,volume,raw_close,change_percent,avg_vol_20d,Month,Interest
22/11/2013,18.5543,18.6486,18.5189,18.5643,223725600,519.8004,-0.26,286449660,2013-11,63
25/11/2013,18.6079,18.7811,18.6071,18.705,229311600,523.74,0.76,270393200,2013-11,63
26/11/2013,18.7186,19.1479,18.7143,19.05,401382800,533.4,1.84,258671980,2013-11,63
27/11/2013,19.1539,19.5,19.05,19.4986,363448400,545.9608,2.35,259136220,2013-11,63
29/11/2013,19.6243,19.9404,19.5646,19.8596,318127600,556.0688,1.85,261257780,2013-11,63
02/12/2013,19.9286,20.1546,19.6721,19.6868,472544800,551.2304,-0.87,271140520,2013-12,47
03/12/2013,19.9393,20.2279,19.9171,20.2257,450968000,566.3196,2.74,281457540,2013-12,47
04/12/2013,20.1964,20.3282,20.0293,20.1786,377809600,565.0008,-0.23,287087360,2013-12,47
05/12/2013,20.4518,20.5407,20.2289,20.2821,447580000,567.8988,0.51,298297580,2013-12,47
06/12/2013,20.2068,20.2411,19.9846,20.0007,344352400,560.0196,-1.39,302384180,2013-12,47
09/12/2013,20.0321,20.3421,20.0321,20.2296,320493600,566.4288,1.14,304443020,2013-12,47
10/12/2013,20.1279,20.2814,20.0429,20.1982,278269600,565.5496,-0.16,306983880,2013-12,47
11/12/2013,20.25,20.3918,19.9889,20.0486,359718800,561.3608,-0.74,314755980,2013-12,47
12/12/2013,20.0764,20.1907,20.0011,20.0193,262290000,560.5404,-0.15,318009440,2013-12,47
13/12/2013,20.1018,20.1029,19.7739,19.8011,332822000,554.4308,-1.09,320529580,2013-12,47
16/12/2013,19.8221,20.0943,19.8218,19.9107,282592800,557.4996,0.55,318763200,2013-12,47
17/12/2013,19.8504,19.98,19.7636,19.8211,229902400,554.9908,-0.45,318011120,2013-12,47
18/12/2013,19.6321,19.6946,19.2429,19.6704,565863200,550.7712,-0.76,335857340,2013-12,47
19/12/2013,19.625,19.6429,19.4189,19.445,320308800,544.46,-1.15,342176940,2013-12,47
20/12/2013,19.4796,19.7004,19.4579,19.6079,436413600,549.0212,0.84,350896280,2013-12,47
23/12/2013,20.2857,20.3829,20.0986,20.3604,501306400,570.0912,3.84,364775320,2013-12,47
24/12/2013,20.3532,20.4243,20.2154,20.2739,167554800,567.6692,-0.42,361687480,2013-12,47
26/12/2013,20.2893,20.3393,20.1207,20.1393,204008000,563.9004,-0.66,351818740,2013-12,47
27/12/2013,20.1364,20.1575,19.9821,20.0032,225884400,560.0896,-0.68,344940540,2013-12,47
30/12/2013,19.9093,20.0032,19.7257,19.8043,253629600,554.5204,-0.99,341715640,2013-12,47
31/12/2013,19.7918,20.0457,19.7857,20.0364,223084400,561.0192,1.17,329242620,2013-12,47
02/01/2014,19.8457,19.8939,19.715,19.7546,234684800,553.1288,-1.41,318428460,2014-01,45
03/01/2014,19.745,19.775,19.3011,19.3207,392467600,540.9796,-2.2,319161360,2014-01,45
06/01/2014,19.1946,19.5286,19.0571,19.4261,412610800,543.9308,0.55,317412900,2014-01,45
07/01/2014,19.44,19.4986,19.2114,19.2871,317209200,540.0388,-0.72,316055740,2014-01,45
08/01/2014,19.2432,19.4843,19.2389,19.4093,258529600,543.4604,0.63,312957540,2014-01,45
09/01/2014,19.5286,19.5307,19.1196,19.1614,279148800,536.5192,-1.28,313001500,2014-01,45
10/01/2014,19.2796,19.3143,18.9682,19.0336,304976000,532.9408,-0.67,310264360,2014-01,45
13/01/2014,18.9254,19.375,18.9243,19.1332,378492800,535.7296,0.52,316074500,2014-01,45
14/01/2014,19.2221,19.5261,19.2021,19.5139,332561600,546.3892,1.99,316061480,2014-01,45
15/01/2014,19.7686,20.0071,19.7021,19.9057,391638800,557.3596,2.01,321513780,2014-01,45
16/01/2014,19.8179,19.8875,19.7029,19.7946,229278000,554.2488,-0.56,321482560,2014-01,45
17/01/2014,19.6957,19.7168,19.2821,19.3096,426739600,540.6688,-2.45,314526380,2014-01,45
21/01/2014,19.3211,19.6454,19.3007,19.6096,328526800,549.0688,1.55,314937280,2014-01,45
22/01/2014,19.6754,19.9032,19.5646,19.6968,379985200,551.5104,0.44,312115860,2014-01,45
23/01/2014,19.6407,19.875,19.4575,19.8636,403239200,556.1808,0.85,307212500,2014-01,45
24/01/2014,19.7857,19.8436,19.4554,19.5025,429354800,546.07,-1.82,320302500,2014-01,45
27/01/2014,19.6454,19.8143,19.4911,19.6607,554878800,550.4996,0.81,337846040,2014-01,45
